phase,area
0.0,2006593
0.03125,2008710
0.0625,2012394
0.09375,2016889
0.125,2022271
0.15625,2024940
0.1875,2031877
0.21875,2031143
0.25,2035397
0.28125,2034955
0.3125,2028009
0.34375000000000006,2020328
0.375,2016371
0.40625000000000006,2015070
0.4375,2013466
0.46875000000000006,2007457
0.5,2002762
0.53125,1999150
0.5625,1997560
0.59375,2001906
0.625,2009465
0.65625,2016261
0.6875000000000001,2023441
0.71875,2027113
0.75,2031046
0.78125,2032866
0.8125000000000001,2024517
0.84375,2015761
0.875,2005530
0.90625,2003987
0.9375000000000001,1999796
0.96875,2003399
1.0,2006593
